Frame,Time,X,Y
239,3.173,30.9,22.1
240,3.187,30.6,22.7
241,3.2,30.3,23.1
242,3.213,30.3,23.7
243,3.227,29.9,24.4
244,3.24,29.6,24.8
245,3.253,29.8,25.2
246,3.267,30.2,25.9
247,3.28,30.2,26.9
248,3.293,29.9,27.4
249,3.307,29.4,27.7
250,3.32,28.1,28.6
251,3.333,27.4,29.3
252,3.347,26.8,29.3
253,3.36,25.8,29.5
254,3.373,25.7,29.7
255,3.387,26.2,29.3
256,3.4,27,28.6
257,3.413,28.4,27.7
258,3.427,29.1,27.1
259,3.44,30.8,26.2
260,3.453,30.5,25.5
261,3.467,30.5,24.9
262,3.48,30.9,24.8
263,3.493,32.1,25
264,3.507,33.2,25.6
265,3.52,33.7,26.2
266,3.533,34.5,26.1
267,3.547,35.4,26
268,3.56,35.5,25.7
269,3.573,35.7,25.6
270,3.587,35.2,25.6
271,3.6,35.1,25.2
272,3.613,35.9,25.1
273,3.627,36.3,24.3
274,3.64,35.9,23.6
275,3.653,35.8,22.6
276,3.667,34.7,22.2
277,3.68,34.4,21.6
278,3.693,34.2,20.9
279,3.707,33.8,20.1
280,3.72,33.9,19.5
281,3.733,34,19.1
282,3.747,33.6,18.6
283,3.76,33.3,18.3
284,3.773,33.4,17.7
285,3.787,33.2,17.4
286,3.8,32.7,17.2
287,3.813,32.5,16.8
288,3.827,32.6,16.7
289,3.84,32.6,16.5
290,3.853,32.7,16.4
291,3.867,32.9,16.3
292,3.88,32.9,16.3
293,3.893,33.2,16.1
294,3.907,33,16
295,3.92,32.8,15.9
296,3.933,33.1,15.7
297,3.947,32.9,15.6
298,3.96,32.9,15.4
299,3.973,32.9,15.3
300,3.987,32.8,15
301,4,32.6,14.9
302,4.013,32.6,14.8
303,4.027,33,14.7
304,4.04,33,14.6
305,4.053,33.1,14.5
306,4.067,33,14.4
307,4.08,33.6,14.3
308,4.093,33.9,14.2
309,4.107,34.1,14.2
310,4.12,34.2,14
311,4.133,34.6,14
312,4.147,33.4,14
313,4.16,34.6,13.8
314,4.173,36.3,13.5
315,4.187,37.2,13.5
316,4.2,38.4,13.4
317,4.213,37,13.6
318,4.227,34.6,13.5
319,4.24,38.4,13.4
320,4.253,37.2,13.2
321,4.267,38.9,13.2
322,4.28,35.5,13.2
323,4.293,36.2,12.8
324,4.307,33.8,13.3
325,4.32,39.5,12.8
326,4.333,18.2,13.9
327,4.347,45.8,12.6
328,4.36,18.5,13.9
329,4.373,18.5,13.7
330,4.387,38.6,12.8
331,4.4,-1,-1
332,4.413,-1,-1
333,4.427,18.2,13.8
334,4.44,18.3,13.8
335,4.453,18.2,13.8
336,4.467,46.5,11.8
337,4.48,46.3,12.1
338,4.493,46.3,12.1
339,4.507,32.2,13.2
340,4.52,35,12.9
341,4.533,33.4,13.3
342,4.547,35.5,13.6
343,4.56,34.4,13.9
344,4.573,35.1,14.1
345,4.587,34.6,14.2
346,4.6,33.8,14.4
347,4.613,33.4,14.4
348,4.627,32.8,14.5
349,4.64,32.5,14.6
350,4.653,32.6,14.6
351,4.667,32.6,14.7
352,4.68,32.4,14.8
353,4.693,32,15
354,4.707,31.9,15.1
355,4.72,31.9,15.2
356,4.733,32,15.3
357,4.747,31.8,15.5
358,4.76,31.9,15.6
359,4.773,31.8,15.7
360,4.787,31.4,16
361,4.8,31.5,16.2
362,4.813,31.2,16.4
363,4.827,31.1,16.6
364,4.84,30.8,16.9
365,4.853,31,17.1
366,4.867,30.7,17.5
367,4.88,30.7,17.8
368,4.893,30.6,18.1
369,4.907,30.5,18.6
370,4.92,30.6,18.8
371,4.933,30.6,19.1
372,4.947,30.5,19.3
373,4.96,30.7,19.4
374,4.973,30.3,19.8
375,4.987,30.1,20.2
376,5,30.6,20.7
377,5.013,30.2,21.2
378,5.027,29.7,22.1
379,5.04,29.9,22.9
380,5.053,29.7,23.4
381,5.067,29,24.1
382,5.08,31.5,23.5
383,5.093,32.3,23
384,5.107,33.2,22.4
385,5.12,35.3,21.3
386,5.133,34.1,20.8
387,5.147,33.3,20.2
388,5.16,32.7,20
389,5.173,31.9,20.3
390,5.187,31.7,20.5
391,5.2,32,20.8
392,5.213,32.6,20.9
393,5.227,32.8,21.1
394,5.24,33.5,21.2
